Точка маршрута,Рейс 1,Рейс 2,Рейс 3,Рейс 4,,,,,,,,,,,,,
28-29-Я ЛИНИИ,10:15:30,10:27:40,10:43:00,10:57:20,,60,60,50,,"56,6666666666667",,,,,,,
22-23-Я ЛИНИИ,10:16:30,10:28:40,10:43:50,10:58:10,,130,180,170,,160,,,,,,,
МУЗЕЙ ГОРОДСКОГО ТРАНСПОРТА,10:18:40,10:31:40,10:46:40,11:01:00,,120,110,130,,120,,570,550,560,,,
12-13-Я ЛИНИИ,10:20:40,10:33:30,10:48:50,11:03:10,00:02:22,150,150,170,,"156,666666666667",,"0,263157894736842","0,272727272727273","0,303571428571429",,"0,279818865345181","142,707621326042"
"МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""",10:23:10,10:36:00,10:51:40,11:05:32,00:01:12,100,70,70,,80,,"0,175438596491228","0,127272727272727","0,125",,"0,142570441254652","72,7109250398724"
1-Я И КАДЕТСКАЯ ЛИНИИ,10:24:50,10:37:10,10:52:50,11:06:45,00:01:15,100,90,60,,"83,3333333333333",,"0,175438596491228","0,163636363636364","0,107142857142857",,"0,148739272423483","75,8570289359763"
"1-Я И КАДЕТСКАЯ ЛИНИИ. МЕТРО ""СПОРТИВНАЯ""",10:26:30,10:38:40,10:53:50,11:07:59,00:01:15,100,70,80,,"83,3333333333333",,"0,175438596491228","0,127272727272727","0,142857142857143",,"0,148522822207033","75,7466393255867"
"МЕТРО ""СПОРТИВНАЯ""",10:28:10,10:39:50,10:55:10,11:09:05,00:01:06,60,80,80,,"73,3333333333333",,"0,105263157894737","0,145454545454545","0,142857142857143",,"0,131191615402142","66,9077238550923"
КРОНВЕРКСКИЙ ПРОСПЕКТ,10:29:10,10:41:10,10:56:30,11:10:21,00:01:16,60,90,100,,"83,3333333333333",,"0,105263157894737","0,163636363636364","0,178571428571429",,"0,14915698336751","76,0700615174299"
ЗВЕРИНСКАЯ УЛ.,10:30:10,10:42:40,10:58:10,11:11:40,,90,80,80,,"83,3333333333333",,,,,,,
ВВЕДЕНСКАЯ УЛ.,10:31:40,10:44:00,10:59:30,11:13:20,,70,100,80,,"83,3333333333333",,1,1,1,,,
СЫТНЫЙ РЫНОК,10:32:50,10:45:40,11:00:50,11:14:50,,80,70,60,,70,,,,,,,
"МЕТРО ""ГОРЬКОВСКАЯ""",10:34:10,10:46:50,11:01:50,11:16:00,,60,70,100,,"76,6666666666667",,,,,,,
ТРОИЦКАЯ ПЛ. П.С.,10:35:10,10:48:00,11:03:30,11:17:20,,80,90,100,,90,,,,,,,
УЛИЦА ЧАПАЕВА,10:36:30,10:49:30,11:05:10,11:19:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5 — 11,00:09:30,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Продолжительность периода с пропущенными значеями,00:08:30,510,,,,,,,,,,,
