<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<PRICE>,<TOTAL>,,
01.09.2020,10:00:00,109684,115099,108264,110955,39,"111000,5","4329019,5",,1
01.09.2020,10:01:00,111166,115178,107912,110252,19,111127,2111413,,
01.09.2020,10:02:00,111879,115283,107902,109479,34,"111135,75","3778615,5",,
01.09.2020,10:03:00,110215,115163,108094,109178,25,"110662,5","2766562,5",,
01.09.2020,10:04:00,109089,115295,107937,114068,38,"111597,25","4240695,5",,
01.09.2020,10:05:00,113443,114974,107953,108637,9,"111251,75","1001265,75",,
01.09.2020,10:06:00,108498,115186,107966,109307,23,"110239,25","2535502,75",,
01.09.2020,10:07:00,108155,115144,107912,112983,56,"111048,5",6218716,,
01.09.2020,10:08:00,110803,115016,107927,111831,32,"111394,25",3564616,,
01.09.2020,10:09:00,114044,115258,108249,111922,37,"112368,25","4157625,25",,
01.09.2020,10:10:00,109723,115197,108087,113998,40,"111751,25",4470050,,
01.09.2020,10:11:00,108164,114952,107979,109149,87,110061,9575307,,
01.09.2020,10:12:00,114379,115112,108127,111509,28,"112281,75",3143889,,
01.09.2020,10:13:00,111508,115257,108020,109484,31,"111067,25","3443084,75",,
01.09.2020,10:14:00,114010,115167,108010,109909,93,111774,10394982,,
01.09.2020,10:15:00,110753,115122,108032,108233,5,110535,552675,,
01.09.2020,10:16:00,114754,114781,107963,112252,60,"112437,5",6746250,,
01.09.2020,10:17:00,112122,115197,107980,111684,73,"111745,75","8157439,75",,
01.09.2020,10:18:00,112844,115100,108022,113990,16,112489,1799824,,
01.09.2020,10:19:00,108033,114939,108021,109322,81,"110078,75","8916378,75",,
01.09.2020,10:20:00,108790,115176,108028,113761,15,"111438,75","1671581,25",,
01.09.2020,10:21:00,112721,115076,108021,108410,42,111057,4664394,,
01.09.2020,10:22:00,108515,115273,107984,108383,52,"110038,75",5722015,,
01.09.2020,10:23:00,111465,115091,108109,110521,3,"111296,5","333889,5",,
01.09.2020,10:24:00,108147,115285,108147,108423,87,"110000,5","9570043,5",,
01.09.2020,10:25:00,110233,115207,107912,110163,1,"110878,75","110878,75",,
