Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
54E,AF80,54E,0000,000,0000,000,0000,0000,004,0100
54E,AF80,54F,AF80,54E,FF80,000,FF80,FF80,008,1000
54F,0740,550,0740,54F,0740,000,054F,FF7F,009,1001
550,0680,551,0680,550,0680,000,0550,7FFF,001,0001
551,EEFB,552,EEFB,54D,7FFF,000,FFFB,7FFF,001,0001,54D,7FFF
552,AF03,553,AF03,552,0003,000,0003,0003,001,0001
553,EEF8,554,EEF8,54C,0003,000,FFF8,0003,001,0001,54C,0003
554,AEF5,555,AEF5,54A,055E,000,FFF5,055E,001,0001
555,EEF5,556,EEF5,54B,055E,000,FFF5,055E,001,0001,54B,055E
556,AAF4,557,AAF4,55E,8880,000,FFF4,8880,009,1001,54B,055F
557,F303,558,F303,557,F303,000,0557,8880,009,1001
558,7EF4,559,7EF4,54D,7FFF,000,FFF4,8880,003,0011
559,F901,55A,F901,559,F901,000,0559,8880,003,0011
55A,EEF2,55B,EEF2,54D,8880,000,FFF2,8880,003,0011,54D,8880
55B,854C,55C,854C,54C,0002,000,0001,8880,003,0011,54C,0002
55C,CEF9,556,CEF9,55C,0556,000,FFF9,8880,003,0011
556,AAF4,557,AAF4,55F,1313,000,FFF4,1313,001,0001,54B,0560
557,F303,55B,F303,557,F303,000,0003,1313,001,0001
55B,854C,55C,854C,54C,0001,000,0000,1313,001,0001,54C,0001
55C,CEF9,556,CEF9,55C,0556,000,FFF9,1313,001,0001
556,AAF4,557,AAF4,560,FEA4,000,FFF4,FEA4,009,1001,54B,0561
557,F303,558,F303,557,F303,000,0557,FEA4,009,1001
558,7EF4,559,7EF4,54D,8880,000,FFF4,FEA4,001,0001
559,F901,55B,F901,559,F901,000,0001,FEA4,001,0001
55B,854C,55D,854C,54C,0000,000,FFFF,FEA4,001,0001,54C,0000
55D,0100,55E,0100,55D,0100,000,055D,FEA4,001,0001
