Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
197,0200,197,0000,000,0000,000,0000,0000,004,0100
197,0200,198,0200,197,0200,000,0197,0000,004,0100
198,EE1B,199,EE1B,1B4,0000,000,001B,0000,004,0100,1B4,0000
199,AE19,19A,AE19,1B3,F000,000,0019,F000,008,1000
19A,0700,19B,0700,19A,0700,000,019A,F001,008,1000
19B,0C00,19C,0C00,7FF,F001,7FF,019B,F001,008,1000,7FF,F001
19C,D656,656,D656,7FE,019D,7FE,D656,F001,008,1000,7FE,019D
656,AC01,657,AC01,7FF,F001,7FE,0001,F001,008,1000
657,F001,658,F001,657,F001,7FE,0657,F001,008,1000
658,F307,659,F307,658,F307,7FE,0658,F001,008,1000
659,7E09,65A,7E09,663,F2B8,7FE,0009,F001,008,1000
65A,F805,660,F805,65A,F805,7FE,0005,F001,008,1000
660,AE02,661,AE02,663,F2B8,7FE,0002,F2B8,008,1000
661,EC01,662,EC01,7FF,F2B8,7FE,0001,F2B8,008,1000,7FF,F2B8
662,0A00,19D,0A00,7FE,019D,7FF,0662,F2B8,008,1000
19D,0800,19E,0800,7FF,F2B8,000,019D,F2B8,008,1000
19E,6E15,19F,6E15,1B4,0000,000,0015,F2B8,009,1001
19F,EE14,1A0,EE14,1B4,F2B8,000,0014,F2B8,009,1001,1B4,F2B8
1A0,AE10,1A1,AE10,1B1,00FF,000,0010,00FF,001,0001
1A1,0740,1A2,0740,1A1,0740,000,01A1,00FE,001,0001
1A2,0C00,1A3,0C00,7FF,00FE,7FF,01A2,00FE,001,0001,7FF,00FE
1A3,D656,656,D656,7FE,01A4,7FE,D656,00FE,001,0001,7FE,01A4
656,AC01,657,AC01,7FF,00FE,7FE,0001,00FE,001,0001
657,F001,658,F001,657,F001,7FE,0657,00FE,001,0001
658,F307,660,F307,658,F307,7FE,0007,00FE,001,0001
660,AE02,661,AE02,663,F2B8,7FE,0002,F2B8,009,1001
661,EC01,662,EC01,7FF,F2B8,7FE,0001,F2B8,009,1001,7FF,F2B8
662,0A00,1A4,0A00,7FE,01A4,7FF,0662,F2B8,009,1001
1A4,0800,1A5,0800,7FF,F2B8,000,01A4,F2B8,009,1001
1A5,0740,1A6,0740,1A5,0740,000,01A5,F2B7,009,1001
1A6,6E0D,1A7,6E0D,1B4,F2B8,000,000D,FFFF,008,1000
1A7,EE0C,1A8,EE0C,1B4,FFFF,000,000C,FFFF,008,1000,1B4,FFFF
1A8,AE09,1A9,AE09,1B2,FFF8,000,0009,FFF8,008,1000
1A9,0740,1AA,0740,1A9,0740,000,01A9,FFF7,009,1001
1AA,0C00,1AB,0C00,7FF,FFF7,7FF,01AA,FFF7,009,1001,7FF,FFF7
1AB,D656,656,D656,7FE,01AC,7FE,D656,FFF7,009,1001,7FE,01AC
656,AC01,657,AC01,7FF,FFF7,7FE,0001,FFF7,009,1001
657,F001,658,F001,657,F001,7FE,0657,FFF7,009,1001
658,F307,659,F307,658,F307,7FE,0658,FFF7,009,1001
659,7E09,65A,7E09,663,F2B8,7FE,0009,FFF7,001,0001
65A,F805,65B,F805,65A,F805,7FE,065A,FFF7,001,0001
65B,F004,65C,F004,65B,F004,7FE,065B,FFF7,001,0001
65C,0500,65D,0500,65C,FFF7,7FE,065C,FFEE,009,1001
65D,0500,65E,0500,65D,FFEE,7FE,065D,FFDC,009,1001
65E,4E05,65F,4E05,664,001B,7FE,0005,FFF7,008,1000
65F,CE01,661,CE01,65F,0661,7FE,0001,FFF7,008,1000
661,EC01,662,EC01,7FF,FFF7,7FE,0001,FFF7,008,1000,7FF,FFF7
662,0A00,1AC,0A00,7FE,01AC,7FF,0662,FFF7,008,1000
1AC,0800,1AD,0800,7FF,FFF7,000,01AC,FFF7,008,1000
1AD,0700,1AE,0700,1AD,0700,000,01AD,FFF8,008,1000
1AE,4E05,1AF,4E05,1B4,FFFF,000,0005,FFF7,009,1001
1AF,EE04,1B0,EE04,1B4,FFF7,000,0004,FFF7,009,1001,1B4,FFF7
1B0,0100,1B1,0100,1B0,0100,000,01B0,FFF7,009,1001
