Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
564,AE15,564,0000,000,0000,000,0000,0000,004,0100
564,AE15,565,AE15,57A,05BB,000,0015,05BB,000,0000
565,EE15,566,EE15,57B,05BB,000,0015,05BB,000,0000,57B,05BB
566,1205,567,1205,566,1205,000,0566,0540,000,0000
567,2F40,568,2F40,567,0040,000,0040,0040,000,0000
568,F0FD,569,F0FD,568,F0FD,000,0568,0040,000,0000
569,1204,56A,1204,569,1204,000,0569,0000,000,0000
56A,0680,56B,0680,56A,0680,000,056A,0000,004,0100
56B,E80F,56C,E80F,5BB,0000,000,000F,0000,004,0100,5BB,0000
56C,2E0F,56D,2E0F,57C,FF00,000,000F,0000,004,0100
56D,7E10,56E,7E10,57E,0A00,000,0010,0000,008,1000
56E,F00A,56F,F00A,56E,F00A,000,056E,0000,008,1000
56F,1205,570,1205,56F,1205,000,056F,0000,008,1000
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
571,F0FD,56F,F0FD,571,F0FD,000,FFFD,0000,004,0100
56F,1205,570,1205,56F,1205,000,056F,0000,004,0100
570,2F40,571,2F40,570,0040,000,0040,0000,004,0100
